data-entity-id,Assessment Name,Remote Testing,Adaptive/IRT,Test Type,Assessment Length
3827,.NET Framework 4.5,Yes,Yes,Knowledge & Skills,30.0
4094,.NET MVC (New),Yes,No,Knowledge & Skills,17.0
4099,.NET MVVM (New),Yes,No,Knowledge & Skills,5.0
4018,.NET WCF (New),Yes,No,Knowledge & Skills,11.0
4016,.NET WPF (New),Yes,No,Knowledge & Skills,9.0
4165,.NET XAML (New),Yes,No,Knowledge & Skills,5.0
4178,Accounts Payable (New),Yes,No,Knowledge & Skills,9.0
4187,Accounts Payable Simulation (New),Yes,No,Simulations,8.0
4179,Accounts Receivable (New),Yes,No,Knowledge & Skills,13.0
4188,Accounts Receivable Simulation (New),Yes,No,Simulations,8.0
4168,ADO.NET (New),Yes,No,Knowledge & Skills,10.0
4019,Adobe Experience Manager (New),Yes,No,Knowledge & Skills,17.0
3778,Adobe Photoshop CC,Yes,Yes,Knowledge & Skills,20.0
4069,Aeronautical Engineering (New),Yes,No,Knowledge & Skills,10.0
4004,Aerospace Engineering (New),Yes,No,Knowledge & Skills,10.0
4223,Agile Software Development,Yes,No,Knowledge & Skills,
4159,Agile Testing (New),Yes,No,Knowledge & Skills,13.0
4311,AI Skills,Yes,No,Personality & Behavior,16.0
4028,Amazon Web Services (AWS) Development (New),Yes,No,Knowledge & Skills,6.0
4160,Android Development (New),Yes,No,Knowledge & Skills,7.0
4153,Angular 6 (New),Yes,No,Knowledge & Skills,11.0
4021,AngularJS (New),Yes,No,Knowledge & Skills,9.0
4030,Apache Hadoop (New),Yes,No,Knowledge & Skills,7.0
4011,Apache Hadoop Extensions (New),Yes,No,Knowledge & Skills,9.0
4073,Apache HBase (New),Yes,No,Knowledge & Skills,5.0
4075,Apache Hive (New),Yes,No,Knowledge & Skills,5.0
4022,Apache Kafka (New),Yes,No,Knowledge & Skills,6.0
4115,Apache Pig (New),Yes,No,Knowledge & Skills,6.0
4023,Apache Spark (New),Yes,No,Knowledge & Skills,8.0
4017,ASP .NET with C# (New),Yes,No,Knowledge & Skills,13.0
3786,ASP.NET 4.5,Yes,Yes,Knowledge & Skills,30.0
4219,Assessment and Development Center Exercises,Yes,No,Assessment Exercises,
3980,Automata - Fix (New),Yes,No,Simulations,20.0
3981,Automata - SQL (New),Yes,No,Simulations,30.0
3984,Automata (New),Yes,No,Simulations,45.0
3982,Automata Data Science (New),Yes,No,Simulations,60.0
3983,Automata Data Science Pro (New),Yes,No,Simulations,60.0
4222,Automata Front End,Yes,No,Simulations,
3985,Automata Pro (New),Yes,No,Simulations,60.0
4229,Automata Selenium,Yes,No,Simulations,60.0
4026,Automation Anywhere RPA Development (New),Yes,No,Knowledge & Skills,8.0
4025,Automotive Engineering (New),Yes,No,Knowledge & Skills,13.0
3988,Basic Biology (New),Yes,No,Knowledge & Skills,6.0
4206,Basic Computer Literacy (Windows 10) (New),Yes,No,,30.0
4149,Basic Statistics (New),Yes,No,Knowledge & Skills,10.0
4161,Biochemistry (New),Yes,No,Knowledge & Skills,8.0
4036,Biotech Lab Techniques (New),Yes,No,Knowledge & Skills,5.0
4037,BizTalk (New),Yes,No,Knowledge & Skills,16.0
244,Business Communication (adaptive),Yes,Yes,Knowledge & Skills,24.0
536,Business Communications,Yes,No,Knowledge & Skills,35.0
4038,C Programming (New),Yes,No,Knowledge & Skills,10.0
4039,C# Programming (New),Yes,No,Knowledge & Skills,9.0
4122,C++ Programming (New),Yes,No,Knowledge & Skills,10.0
4077,Cardiology and Diabetes Management (New),Yes,No,Knowledge & Skills,4.0
4044,Ceramic Engineering (New),Yes,No,Knowledge & Skills,12.0
4012,Chemical Engineering (New),Yes,No,Knowledge & Skills,13.0
4024,Cisco AppDynamics (New),Yes,No,Knowledge & Skills,9.0
4150,Civil Engineering (New),Yes,No,Knowledge & Skills,10.0
4045,Cloud Computing (New),Yes,No,Knowledge & Skills,8.0
4046,COBOL Programming (New),Yes,No,Knowledge & Skills,10.0
4104,Computer Science (New),Yes,No,Knowledge & Skills,12.0
4189,Contact Center Call Simulation (New),Yes,No,Simulations,15.0
4296,Conversational Multichat Simulation,Yes,No,Simulations,11.0
4034,Core Java (Advanced Level) (New),Yes,No,Knowledge & Skills,13.0
4032,Core Java (Entry Level) (New),Yes,No,Knowledge & Skills,13.0
3458,Count Out The Money,Yes,Yes,,5.0
4052,CSS3 (New),Yes,No,Knowledge & Skills,8.0
4050,Culinary Skills (New),Yes,No,Knowledge & Skills,7.0
3933,Customer Service Phone Simulation,Yes,No,,20.0
3931,Customer Service Phone Solution,Yes,No,,30.0
4053,Cyber Risk (New),Yes,No,Knowledge & Skills,9.0
4186,Data Entry (New),Yes,No,Simulations,4.0
778,Data Entry Alphanumeric Split Screen - US,Yes,No,Knowledge & Skills,5.0
779,Data Entry Numeric Split Screen - US,Yes,No,Knowledge & Skills,5.0
785,Data Entry Ten Key Split Screen,Yes,No,Knowledge & Skills,3.0
4013,Data Science (New),Yes,No,Knowledge & Skills,14.0
56,Data Warehousing Concepts,Yes,Yes,Knowledge & Skills,25.0
731,Dependability and Safety Instrument (DSI),Yes,No,Personality & Behavior,10.0
4162,Dermatology (New),Yes,No,Knowledge & Skills,3.0
4101,Desktop Support (New),Yes,No,Knowledge & Skills,8.0
4003,Digital Advertising (New),Yes,No,Knowledge & Skills,7.0
4221,Digital Readiness Development Report - IC,Yes,No,Personality & Behavior,
