data-entity-id,Assessment Name,Relative URL,Remote Testing,Adaptive/IRT,Test Type,Assessment Length
4302,Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,Yes,No,,
3827,.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,Yes,Yes,Knowledge & Skills,Approximate Completion Time in minutes = 30
4094,.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 17
4099,.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 5
4018,.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 11
4016,.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9
4165,.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 5
4178,Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9
4187,Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,Simulations,Approximate Completion Time in minutes = 8
4179,Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13
4188,Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,Simulations,Approximate Completion Time in minutes = 8
4168,ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10
4019,Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 17
3778,Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,Knowledge & Skills,Approximate Completion Time in minutes = 20
4069,Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10
4004,Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10
4223,Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 7 minutes
4159,Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13
4311,AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Yes,No,Personality & Behavior,Approximate Completion Time in minutes = 16
4028,Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 6
4160,Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 7
4153,Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 11
4021,AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9
4030,Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 7
4011,Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9
4073,Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 5
4075,Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 5
4022,Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 6
4115,Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 6
4023,Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 8
4017,ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13
3786,ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,Yes,Yes,Knowledge & Skills,Approximate Completion Time in minutes = 30
4219,Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,Assessment Exercises,Approximate Completion Time in minutes = Variable
3980,Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,Yes,No,Simulations,Approximate Completion Time in minutes = max 20
3981,Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,Yes,No,Simulations,Approximate Completion Time in minutes = max 30
3984,Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new/,Yes,No,Simulations,Approximate Completion Time in minutes = max 45
3982,Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,Yes,No,Simulations,Approximate Completion Time in minutes = max 60
3983,Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,Yes,No,Simulations,Approximate Completion Time in minutes = max 60
4222,Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,Yes,No,Simulations,Approximate Completion Time in minutes = 30 minutes
3985,Automata Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/,Yes,No,Simulations,Approximate Completion Time in minutes = max 60
4229,Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,Yes,No,Simulations,Approximate Completion Time in minutes = 60
4026,Automation Anywhere RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 8
4025,Automotive Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13
3988,Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 6
4206,Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Yes,No,,Approximate Completion Time in minutes = 30
4149,Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10
4161,Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 8
4036,Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 5
4037,BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 16
244,Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,Yes,Yes,Knowledge & Skills,Approximate Completion Time in minutes = 24
536,Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 35
4038,C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10
4039,C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9
4122,C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10
4077,Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 4
4044,Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 12
4012,Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13
4024,Cisco AppDynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9
4150,Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10
4045,Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 8
4046,COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10
4104,Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 12
4189,Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,Simulations,Approximate Completion Time in minutes = 15
4296,Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,Simulations,Approximate Completion Time in minutes = 11
4034,Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13
4032,Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13
